Tarefa;Evento Plugin
Analise_de_Falha-Obter_Detalhes_da_Rede_Antiga_P2P_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_Detalhes_da_Rede_Antiga_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_Detalhes_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_Detalhes_de_Rede_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_Detalhes_de_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_Detalhes_de_Rede_P2P_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_Detalhes_de_Rede_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Obter_detalhes_do_Last_Mile_Parceiro_Automatico.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Realocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Realocar_IP_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Reconfiguracao_Automatica.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Reconfiguracao_Automatica_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Remover_Monitoramento.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Requisitar_Equipamento_Conversor.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Requisitar_Equipamento_CPE.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Retomar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Retormar_Monitoramento_em_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Suspender_Monitoramento.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Suspender_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Validar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Viabilidade_de_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha_Atualizacao_Cadastro.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha_para_Instalacao.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha_para_Instalacao_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha_para_Instalacao_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha_para_Instalacao_PE_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha_para_Instalacao_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha_para_Modificacao.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha_para_Modificacao_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Ativacao_Comercial.manualTask;Workforce_received
Ativar_Rede_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Ativar_Rede_Manual_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Ativar_Rede_Manual_P2P.manualTask;Workforce_UpdateTaskSLA_Plugin
Ativar_Rede_Manual_PE.manualTask;Workforce_UpdateTaskSLA_Plugin
Atualizar_ERP.manualTask;Workforce_UpdateTaskSLA_Plugin
Atualizar_Monitoramento_em_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
Atualizar_Perfil_no_Ativador_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Atualizar_Perfil_no_Ativador_Manual_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Atualizar_Registro_BR.manualTask;WorkforceAndBuscaSLA_Plugin
Atualizar_Sistema_de_Ativacao_Dados.manualTask;WorkforceAndBuscaSLA_Plugin
Atualiza_Perfil_no_Ativador.manualTask;WorkforceAndBuscaSLA_Plugin
Atualiza_Perfil_no_Ativador_TX.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelamento_Parcial.manualTask;""
Cancelar_Ativar_Rede_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Ativar_Rede_Manual_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Ativar_Rede_Manual_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Ativar_Rede_Manual_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Configurar_Alteracao_Network.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Desativar_Rede_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Desativar_Rede_Manual_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Desativar_Rede_Manual_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Designar_Rede_no_GIS.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Envio_de_CPE_Conversor.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Envio_de_CPE_Conversor_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Instalar_e_Testar_Servicos.manualTask;WFCampoAndBuscaSLA_Plugin
Cancelar_Instalar_e_Testar_Servicos_PE.manualTask;WFCampoAndBuscaSLA_Plugin
Cancelar_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Modificar_e_Testar_Servicos.manualTask;WFCampoAndBuscaSLA_Plugin
Cancelar_Negociar_Contrato_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Reconfiguracao_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Reconfiguracao_Manual_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Cancelar_Reconfiguracao_Manual_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
