Tarefa;Evento Plugin
Redesenhar_Rede_Manual_P2P_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Redesenhar_Rede_Manual_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Remover_Cliente_no_Registro_BR.manualTask;WorkforceAndBuscaSLA_Plugin
Remover_Monitoramento_em_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
Retomar_Monitoramento_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
Retomar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Retomar_Rede_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Retomar_Rede_Manual_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Solicitar_Ampliacao_da_Planta.manualTask;WorkforceAndBuscaSLA_Plugin
Solicitar_Equipamentos_Adicionais.manualTask;WorkforceAndBuscaSLA_Plugin
Solicitar_Verificacao_Fisica_de_Dados.manualTask;WFCampoAndBuscaSLA_Plugin
Solicitar_Verificacao_Fisica_TX.manualTask;WFCampoAndBuscaSLA_Plugin
Solicitar_Verificacao_Logica_Dados.manualTask;WorkforceAndBuscaSLA_Plugin
Solicitar_Verificacao_Logica_TX.manualTask;WorkforceAndBuscaSLA_Plugin
Suspender_Monitoramento_em_Gerencia.manualTask;Workforce_UpdateTaskSLA_Plugin
Suspender_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Suspender_Rede_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
Suspender_Rede_Manual_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Suspenso_Com_Tratamento_CRM.manualTask;WorkforceAndBuscaSLA_Plugin
Tratar_Ativacao_Comercial.manualTask;Workforce_UpdateTaskSLA_Plugin
Tratar_Falha_de_TI_Integracao.manualTask;WorkforceAndBuscaSLA_Plugin
Tratar_Falha_de_TI_Integracao_sem_Falha_de_Negocio.manualTask;WorkforceAndBuscaSLA_Plugin
Tratativa_Cor_Dados.manualTask;WorkforceAndBuscaSLA_Plugin
Tratativa_Cor_TX.manualTask;WorkforceAndBuscaSLA_Plugin
Tratativa_Mantenedora_Dados.manualTask;WFCampoAndBuscaSLA_Plugin
Tratativa_Mantenedora_TX.manualTask;WFCampoAndBuscaSLA_Plugin
Verificar_Cadastro_no_GIS.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Defeito_Last_Mile_Parceiro.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Equipamento.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Equipamento_GP.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Estacao_Engenharia.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_Estacao_Engenharia_Acesso.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_Informacoes_CPE_Conversor.manualTask;Workforce_received
Verificar_Necessidade_de_Cancelar_Last_Mile.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Necessidade_de_Cancelar_Last_Mile_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Projeto.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Projeto_Modificacao_Network.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Requisicao_Recolhimento.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_se_CPE_esta_Disponivel.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Viabilidade_de_Infraestrutura.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_Viabilidade_de_Modificacao_de_Network.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Viabilidade_de_Modificacao_de_Network_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Viabilidade_de_Novo_Equipamento-Placa.manualTask;WorkforceAndBuscaSLA_Plugin
Verificar_Viabilidade_de_Rede_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_Viabilidade_de_Rede_Manual_ADSL.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_Viabilidade_de_Rede_Manual_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Verificar_Viabilidade_InfraEstrutura.manualTask;Workforce_UpdateTaskSLA_Plugin
Viabilidade_de_Infra_Especialistas_Dados_e_TX.manualTask;WorkforceAndBuscaSLA_Plugin
Viabilidade_de_Infra_Especialista_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Viabilidade_de_Rede_Manual.manualTask;Workforce_UpdateTaskSLA_Plugin
Viabilidade_de_Rede_no_GIS.manualTask;WorkforceAndBuscaSLA_Plugin
Viabilidade_do_Produto_Manual.manualTask;WorkforceAndBuscaSLA_Plugin
View_de_Consulta2.manualTask;""
View_Super_Usuario.manualTask;""
Visita_Tecnica.manualTask;WFCampoAndBuscaSLA_Plugin
